left_brow_eye_dist_mean,left_brow_eye_dist_std,right_brow_eye_dist_mean,right_brow_eye_dist_std,brow_eye_avg_mean,brow_eye_avg_std,brow_furrow_mean,brow_furrow_std,left_eye_openness_mean,left_eye_openness_std,right_eye_openness_mean,right_eye_openness_std,avg_eye_openness_mean,avg_eye_openness_std,mouth_width_mean,mouth_width_std,mouth_height_mean,mouth_height_std,mouth_aspect_ratio_mean,mouth_aspect_ratio_std,nose_width_mean,nose_width_std
-0.00043738211556922676,-0.025245694175880542,0.0004729168163334805,-0.010585535062740108,0.0025949941612779127,-0.01626156142920457,0.0009961317170752713,-0.010156229168736397,-0.009243544229023638,-0.0008853487927919454,-0.003147975544154063,-0.002638391770991778,-0.0035526286813906283,-0.00022161313221338,0.0031150571601245383,-0.011336915590195264,-0.0016716530526844034,0.01450748122400162,0.0005760864393009244,0.005330287327519858,-0.00031885555876250485,-0.02514935178168948
-0.003812049518707477,-0.01871876487629019,-0.0064581412584160305,-0.009512582468924252,-0.005417004620299852,-0.016386795657366667,0.0004230110272422202,-0.011980108761313502,-0.0018551863325181796,0.0011975274964785183,-0.002004060781778416,-0.0017488272756644827,-0.002409653308577941,0.0011634680635997019,0.0017368768715660616,0.0035100695853714156,-0.001134951581905673,-0.03319317705562909,-0.00047480246969391915,-0.027508569366791816,-0.00019797421374582956,-0.027907329895695523
-0.003430389781529191,-0.011356806124331457,-0.00043026947184483165,-0.00980007736271588,-0.0026768161792923204,-0.011493273784195023,6.049935239165204e-05,-0.011641601113628885,-0.006168569177370752,0.0007485625172670455,-0.003548657895051457,-0.002465143949017018,-0.005040849559708716,-0.00030568688323782777,0.000981763279539435,-0.03949314052334551,-0.0020550036792113388,-0.023424719805411807,-0.0002613574163572526,-0.028613793113834315,-0.0005988245406438898,-0.0049222880465440546
-0.006195335677943145,-0.02225654198445403,-0.010922038676950458,-0.009272847664450915,-0.007157143306558628,-0.01398556799721471,0.0009799883071597922,-0.012375299146262403,-0.0015967697902754157,0.0012013191592500213,-0.0032674803892989205,-0.0024194194349336957,-0.0026177549118484773,0.0008967523620231422,0.0006702927094302817,-0.010570643802352654,-0.0008855878841734959,-0.03177700766554311,-0.0006468054532969524,-0.023390264961315403,-0.00015650043891768443,-0.025036371052848037
-0.000573004474997884,-0.021358135228443147,-0.0010200001750280334,-0.011706320577080069,0.001360103906965974,-0.01867403811127793,0.0008745432854232092,-0.009396368568220294,-0.0012917471343881486,-0.000806462890969403,-0.0025332937984439896,-0.0022030735856280164,-0.003292359091583759,-0.0002079892607498888,0.0006270002943912933,0.015802976836477235,-0.0012657549453988595,0.015414307435572807,0.00023692242830385555,0.005745141553069701,-0.0013498990496156698,-0.025525912691165945
0.009429316532431127,-0.0212084131891457,0.009706736302020512,-0.008020136607264665,0.00792774245041855,-0.01655703506935638,0.0005988261088971421,-0.01157682639015619,-0.001588354640051493,-0.0011667453166940354,-0.002731923792949607,-0.0025312178606301285,-0.0014264012913791373,-0.0020737744868021693,-0.0017827271958967062,0.018151566837508196,-0.0010106197786090743,-0.01001309191254023,6.6758849827085e-05,0.006376576867136079,-0.0004755764318602039,-0.028136140231223735
0.009633301303932302,0.0020958769209734004,0.010645289874607038,-0.0012090120493933665,0.008798611564080216,3.7326542932367055e-05,0.00013813559571908358,0.009974654280962105,-0.013375635649595942,0.0010224212795821377,-0.005642921398973474,-0.0038357633203161506,-0.007965257377171844,-0.0016286187772914977,0.0010208696542053511,-0.055481400392996386,-0.0008488480269704515,0.012032924914205174,0.000949163341095532,0.0037267610297954034,-0.0015108300700667284,-0.019420637903348064
0.007107422835064524,-0.023285627863049,0.007779131922210046,-0.004000906696941694,0.007350751475608388,-0.013120599195968334,-0.001030049515700447,-0.012298619980423562,-0.0022826239982423344,0.00045907723176003484,-0.0036402519931163896,-0.003074008877667861,-0.0037634195978637846,-0.00017630286908401301,0.001482870221256883,-0.010684353287589527,-0.0021424599087799794,-0.03299383063423868,0.0002328799961497034,-0.027392582538929067,0.0007952739428968723,-0.025479540014431732
-0.0009950263268840437,0.011721621679405277,0.014963699610782387,0.003019562150033943,0.003286733710002899,0.0062278227637199935,0.0008513299834292015,0.006125388520060367,-0.001630723477530113,0.0005301147877029199,-0.0007194784288829849,-0.0019093178938561607,7.224470543260927e-05,-0.0012387667443197132,0.0009927361574565482,0.011396143209834416,-0.0010415393587224608,0.005881644288694888,0.0001080719026457022,0.006799851188471376,-0.0006894171832670289,0.011185050042482375
0.0020079149604463977,-0.013320828247921425,0.000258361727267247,-0.0017466745509650543,0.004439305142138823,0.0010418136810982105,-0.0002766926185212811,0.0021109353081446916,-0.001420027930494474,-0.0005763297455536509,-0.0024541966704833638,-0.0016745650783303763,-0.0013940132378730456,0.0011755566643164884,0.0017225760821878047,0.014896795587731194,-0.0008721852614677843,-0.010483774611647477,0.00015816216256246815,0.004475135388973579,-0.0004692822638991385,-0.024720916470562213
