gsr_mean,gsr_std,gsr_slope,ecg_mean,ecg_std,ecg_max,emg_trap_mean,emg_trap_std,emg_corr_mean,emg_corr_std,emg_corr_max,emg_zyg_mean,emg_zyg_std,gsr_shannon,ecg_shannon,emg_corr_shannon,emg_zyg_shannon,gsr_sim_corr,gsr_sim_mi,ecg_sim_corr,ecg_sim_mi,emg_trap_sim_corr,emg_trap_sim_mi,emg_corr_sim_corr,emg_corr_sim_mi,emg_zyg_sim_corr,emg_zyg_sim_mi,gsr_x_ecg,emg_asymmetry,hrv_pnn50,hrv_rmssd,hrv_sdnn,hrv_meannn,hrv_lf_hf_ratio,parasympathetic_tone
0.010522037557604825,0.03613974381017089,0.05996412977657439,-0.00127173352245864,0.010277782054950576,0.03044786929546777,-0.008370148140585239,-0.013148015345954575,0.0,0.0,0.0,0.0,0.0,-0.007565589972585532,0.009919550989039957,0.0,0.0,0.020725531232477123,-0.0007159343277560121,0.0067359557442427335,0.004351263122115692,0.0002761762560894693,-0.0015269899026136803,0.0,0.0,0.0,0.0,-0.0013824303620591505,-0.002855910994437433,-0.001480369842718001,0.001620334691873517,0.0024829508555055937,0.006212541330661751,0.0,0.00018538481733045237
-0.007411404691364504,0.014690234131556077,-0.027291201982393157,-0.0036266763212527697,-0.007987811202666275,0.03774441093751457,-0.00863160284966054,-0.011465647005967094,0.0,0.0,0.0,0.0,0.0,-0.009027411790835818,-0.019242727290378844,0.0,0.0,0.015106365028565128,-0.002867808766150885,0.0003968833458602361,0.0007586732091684402,0.0011781060196425044,-0.001390078925301546,0.0,0.0,0.0,0.0,-0.00347521843116916,-0.00231025373208791,-0.0017346639896847623,0.000902686670151351,0.0035365755264825816,-0.01047023586830213,0.0,0.0005999013250740652
-0.0072200085972578985,0.036933027814051805,0.05888703521925962,-0.0011398375593341217,0.008393950353418923,0.02753513512851489,-0.006676020938868757,-0.010964927125362574,0.0,0.0,0.0,0.0,0.0,0.003690492366690636,-0.010881007439171204,0.0,0.0,0.024486482944335877,-0.0038055524802617347,-0.007582421054735091,0.0011937596331405371,0.0009357150450080928,-0.001572375779967059,0.0,0.0,0.0,0.0,-0.0014863890398376038,-0.004261693437833852,0.004048960919793468,0.003780496386722418,0.0053289824025162975,-0.011152317782314099,0.0,0.003381713104872615
-0.009915709369770398,0.01759195823277725,0.028747577825916117,0.0020560060419241217,0.0020410627444859227,0.008530397499711934,-0.006585900940049682,-0.009361793183427017,0.0,0.0,0.0,0.0,0.0,0.02367866950988988,-0.024666020538505667,0.0,0.0,0.026377113912570135,0.0011142815595667726,0.002737302008013059,0.0014992321100781407,0.00013027840589349517,-0.0016763519099163334,0.0,0.0,0.0,0.0,0.0015572559248707425,-0.0043378775227671355,-0.0004988329176859054,9.153715302912415e-05,0.0032290952575226312,-0.009076247782894623,0.0,0.001245190576769722
-0.012424658086479903,-0.014213968044021995,-0.03415043943647581,-0.00410137464659577,0.00893930218054034,0.006411424462695006,-0.007022766590295445,-0.01119634586680479,0.0,0.0,0.0,0.0,0.0,0.021675696706623834,0.011729825992419023,0.0,0.0,0.002562192792208608,0.014361772325593478,-0.0008273538506888234,-0.0008963296171369697,0.00016098388482132847,0.0005216460219247775,0.0,0.0,0.0,0.0,-0.004124731614652497,-0.0022101015984203787,-2.4782693133055684e-06,0.0027988972921512045,0.005444044318817423,0.0013936280411671004,0.0,0.0004681345895526264
-0.002033723007937842,-0.018774099547078173,-0.03687764821143087,-0.0018238358989260597,0.005390569161524492,0.002443850086646805,0.010744852686302804,0.012419718700449852,0.0,0.0,0.0,0.0,0.0,-0.02204216089421739,0.014164212159288465,0.0,0.0,0.00486498240549844,-0.0012733903736439778,-0.0004389581660805066,0.0011684676875229753,0.0005079537878858012,0.004446385980538317,0.0,0.0,0.0,0.0,-0.002888629730381992,0.007278958775145513,-0.0020029117221189233,-0.0011702552901534024,0.003575741108493804,0.00031088635210357234,0.0,-0.0010246668646936386
-0.007715451184376606,-0.0159747178281175,-0.033088422992186554,0.002486842273702901,-0.007036601746450376,0.015968690807975458,-0.007040246769123516,-0.009456963253756197,0.0,0.0,0.0,0.0,0.0,-0.008063517634411148,-0.020363385298854054,0.0,0.0,-0.02056839578852721,0.0007258218959576157,0.0016964297063469564,0.0016842610461867947,0.0009490032215240436,-0.003830858425087257,0.0,0.0,0.0,0.0,0.0015942068106127817,-0.008870731375148896,-0.0005672153429299625,0.0014476345466876276,-0.0019427873528516015,-0.007076677043831877,0.0,-0.0001131743898659168
-0.007478362442624897,-0.015944648502260447,-0.03420523218898335,0.0005459350092582838,0.004897449711798851,-0.015982972167628194,-0.0068501974610190915,-0.009270613418986958,0.0,0.0,0.0,0.0,0.0,0.007971946100863006,-0.0007599573780528833,0.0,0.0,-0.026708919137584403,-0.00514627015464886,4.884292232242298e-05,0.001370419553896706,0.0005796354777404055,0.0018372294644945224,0.0,0.0,0.0,0.0,-0.0018774889172699643,-0.003773783289304524,-0.0017264879469786022,0.0008890952635372358,0.004016666759698373,0.003626958554308029,0.0,0.00012847510397028333
-0.00624988377139194,-0.036287307375218764,-0.030322760681581042,-0.003639109737039252,0.0057626417876345745,-0.016470008574040094,-0.007323673695026746,-0.009769891214097583,0.0,0.0,0.0,0.0,0.0,-0.013940053486437353,-0.021675878024149303,0.0,0.0,-0.02174226138876396,0.00032604422045881646,0.00044883884013172137,-0.002025486215840301,0.00010534396853744967,-0.0016185119073743415,0.0,0.0,0.0,0.0,-0.005160653463322768,-0.006565961041189728,-0.0026104154856245805,-0.004843133712808219,-0.006624296160365077,0.003922179119054089,0.0,-0.0027413085354734564
-0.006457071873567456,-0.03465111904717297,-0.03050521349465531,0.001991008784293013,0.003980459785079339,-0.017467165592478167,-0.00747274052558044,-0.008882072788372553,0.0,0.0,0.0,0.0,0.0,-0.0006856066131400353,-0.021999622594167705,0.0,0.0,-0.013092723931475382,0.0014336800821165864,0.00021427529642184206,-0.0013265557187579677,0.00020016404702183173,-0.001984211523800222,0.0,0.0,0.0,0.0,0.0025686619779383166,-0.009886334021833422,-0.002286059595970092,-0.0019144035756923643,-0.004972572740589447,-0.004690976867197264,0.0,-0.0006551429530140351
0.013505812382380118,0.017288161858357434,-0.04012644317232359,-0.0029885020539611945,0.005814223997170771,0.005758632941831006,-0.006651267556818367,-0.011503874185766335,0.0,0.0,0.0,0.0,0.0,0.006183566707820944,0.0017555926777803178,0.0,0.0,-0.02427512526455025,0.002067344213662135,0.0009534022605921969,0.001245294398919186,0.0003654534809858371,-0.0006884191611485848,0.0,0.0,0.0,0.0,-0.0034306785046816983,-0.011369865703326903,0.00044480668701050156,0.0013392194461697964,0.002502206784612456,0.003965525550540598,0.0,-1.2003772128957417e-05
