feature,mean_shap
gsr_slope,0.037207866188869974
gsr_std,0.027649916926295832
ecg_max,0.02014041582449582
gsr_shannon,0.014454801455568182
ecg_shannon,0.014452495837200482
gsr_sim_corr,0.014390793292086984
gsr_mean,0.008586803467874245
ecg_std,0.008585166536427583
emg_trap_std,0.008451435447629373
emg_trap_mean,0.006727972850662463
gsr_sim_mi,0.0057208962297987465
hrv_meannn,0.005615628466822776
emg_asymmetry,0.00494900234125179
hrv_sdnn,0.004685301414425525
gsr_x_ecg,0.0039453949720546794
ecg_mean,0.0035927887147380547
hrv_rmssd,0.002210859428724563
ecg_sim_corr,0.0018415937984887763
hrv_pnn50,0.0017608311222815447
ecg_sim_mi,0.0017214291270362836
